background_long_jobs,candidate_tokens,base_makespan_s,combined_makespan_s,delta_makespan_s,candidate_standalone_s,marginal_cost_ratio
0,1024,0.0,5.131287616677582,5.131287616677582,5.131287616677582,1.0
1,1024,45.056322378106415,45.682651934213936,0.6263295561075211,5.131287616677582,0.12206089443745863
2,1024,53.32641218136996,53.49836913775653,0.17195695638656616,5.131287616677582,0.03351146324904415
4,1024,61.48325403686613,61.752700983546674,0.2694469466805458,5.131287616677582,0.05251059126071907
8,1024,79.12359392084181,79.47442292328924,0.3508290024474263,5.131287616677582,0.06837055894258796
0,4096,0.0,21.3780351402238,21.3780351402238,21.3780351402238,1.0
1,4096,45.056322378106415,48.496695197187364,3.440372819080949,21.3780351402238,0.16093026307210628
2,4096,53.32641218136996,54.94403510261327,1.61762292124331,21.3780351402238,0.07566752092196137
4,4096,61.48325403686613,63.702976785600185,2.219722748734057,21.3780351402238,0.10383193470187266
8,4096,79.12359392084181,82.78003726154566,3.656443340703845,21.3780351402238,0.1710373903270498
0,8192,0.0,45.25806999858469,45.25806999858469,45.25806999858469,1.0
1,8192,45.056322378106415,53.46609069593251,8.409768317826092,45.25806999858469,0.18581809427775164
2,8192,53.32641218136996,58.83580870274454,5.509396521374583,45.25806999858469,0.12173290910431826
4,8192,61.48325403686613,68.61934623681009,7.13609219994396,45.25806999858469,0.15767557476859087
8,8192,79.12359392084181,92.38910928275436,13.265515361912549,45.25806999858469,0.293108286816636
